id,bundle,deleted,entity_id,revision_id,language,delta,field_basic_spotlight_items_title,field_basic_spotlight_items_description,field_basic_spotlight_items_fid,field_basic_spotlight_items_link,field_basic_spotlight_items_alt,fid,uid,filename,uri,filemime,filesize,status,timestamp,type
69586,spotlight,0,1466,6141,und,0,Sylvia Mendez 2014 Visit,Photograph of students with Presidential Medal of Freedom Recipient Sylvia Mendez during her 2014 UCSF visit.,2341,https://calendar.ucsf.edu/event/sylvia_mendez_rn_the_latina_who_desegregated_california#.Vczl9RNVhBc,"Student Group, Voces Latina, with Presidential Medal of Freedom Recipient, Sylvia Mendez, RN",2341,0,15779308111_1fc3d188f9_z.jpg,public://general/15779308111_1fc3d188f9_z.jpg,image/jpeg,94473,1,1439492313,image
85589,spotlight,0,1466,6141,und,1,DIVA 2015 Reception,Students at 2015 DIVA reception,2346,http://nursing.ucsf.edu/about/DIVA,Students pose at 2015 DIVA reception,2346,0,DIVA2015.jpg,public://general/DIVA2015.jpg,image/jpeg,104038,1,1439492313,image
66488,spotlight,0,1466,6141,und,2,Disparities Research Centro Latino Visit,Disparities research site visit to Centro Latino,2351,http://nursing.ucsf.edu,Disparities research site visit to Centro Latino,2351,0,Disparities Research photo II.jpg,public://general/Disparities Research photo II.jpg,image/jpeg,300668,1,1439492313,image
54393,spotlight,0,1466,6141,und,3,Diversity Outreach Event,Students take part in diversity outreach event,2356,http://nursing.ucsf.edu,Students take part in diversity outreach event,2356,0,SONDivOutreachEvent.jpg,public://general/SONDivOutreachEvent.jpg,image/jpeg,94238,1,1439492313,image
77488,spotlight,0,1471,11131,und,0,BABNA and School of Nursing Pre-Conference & Multicultural Nursing Mixer,UCSF School of Nursing Professor Joanne Spetz with Multicultural Nursing Mixer participant. Photo credit: Elisabeth Fall.,5441,http://nursing.ucsf.edu/news/babna-and-school-nursing-celebrate-florence-stroud-black-history-month-series-pre-conference,UCSF School of Nursing Professor Joanne Spetz with Multicultural Nursing Mixer participant. Photo credit: Elisabeth Fall.,5441,411,UCSFBABNA14.jpg,public://general/UCSFBABNA14_0.jpg,image/jpeg,305349,1,1455929980,image
60000,spotlight,0,1471,11131,und,1,Black Caucus Gala,Group pose at most recent annual Black Caucus Gala,2441,https://blogs.library.ucsf.edu/broughttolight/2015/02/17/exploring-the-archives-for-150-ucsfs-black-caucus/,"Group pose at the most recent, annual Black Caucus Gala event",2441,411,Black Caucus gala 3.jpg,public://general/Black Caucus gala 3_0.jpg,image/jpeg,93679,1,1439513283,image
66402,spotlight,0,1471,11131,und,2,DIVA 2016 Welcome Back Reception,Students listen at the 2016 DIVA Wecome Back Reception,10361,https://nursing.ucsf.edu/news/orientation-focuses-diversity-and-inclusion,Students listen at the 2016 DIVA Wecome Back Reception,10361,411,DIVA376.jpg,public://general/DIVA376_0.jpg,image/jpeg,291119,1,1476140026,image
58162,spotlight,0,1471,11131,und,3,Fostering Diversity in Academia,“Fostering Diversity in Academia” participants with speaker Dr. Barbara Aranda-Naranjo (center). Photo credit: Courtney Anderson,5446,http://nursing.ucsf.edu/news/fostering-diversity-academia,“Fostering Diversity in Academia” participants with speaker Dr. Barbara Aranda-Naranjo (center). Photo credit: Courtney Anderson,5446,411,FDA.jpg,public://general/FDA.jpg,image/jpeg,64840,1,1455930166,image
80213,spotlight,0,1471,11131,und,4,Inside UCSF - Diversity Outreach Event,Students take part in Inside UCSF a diversity outreach event,2361,http://diversity.ucsf.edu/InsideUCSF,Students take part in Inside UCSF a diversity outreach event,2361,411,SONDivOutreachEvent.jpg,public://general/SONDivOutreachEvent_0.jpg,image/jpeg,94238,1,1439493038,image
53122,spotlight,0,1471,11131,und,5,"Sylvia Mendez, RN, the Latina Who Desegregated California","Vice Chancellor Renee Navarro and students from Voces Latina pose with Presidential Medal Recipient Sylvia Mendez, RN",2446,https://calendar.ucsf.edu/event/sylvia_mendez_rn_the_latina_who_desegregated_california#.VczrcRNVhBc,"Students pose with Presidential Medal Recipient Sylvia Mendez, RN",2446,411,SMeventGroupImage.jpg,public://general/SMeventGroupImage.jpg,image/jpeg,103333,1,1439513470,image
